stationcode,comid,masterid
906LPRSC4,20331462,906LPRSC4
909SHAR02,20333084,909SHAR02
909SLAW02,20333188,909SLAW02
911TJIND2,20324959,911TJIND2
911TJWIL3,20325305,911TJWIL3
911TTJR01,20326435,911TTJR01
AHC-TWAS1,20341905,SMC22407
909STNWLL,20332648,NA
403STCPRU,17574677,403STCPRU
403STCSFO,17570197,403STCSFO
403STCSSP,17574807,403STCSSP
909SSWR03,20334440,909SSWR03
909SSWR08,948070399,909SSWR08
909SWCASR,20332648,909SWCASR
910DZRA03,20333528,910DZRA03
911COPPER,20325695,911COPPER
911LAP,20325295,911LAP
911KCKCRX,20325113,911KCKCRX
404TCC,20365115,NA
310BIGUPP,8193691,NA
310ISLCAM,8192735,NA
310LOPUPP,8193691,NA
310MORCIA,8193567,NA
310LPCBPC,8192731,310LPCBPC
310LPCNAG,8193647,310LPCNAG
405BH2Axx,22522827,405BH2Axx
405BH3Axx,22522871,405BH3Axx
405BRCAMS,22522723,405BRCAMS
405WER318,22522773,405WER318
310MORCIA2,8192521,NA
310SANCAM,8191209,NA
509ICPPCX,8020488,509ICPPCX
509MLC145,8020332,509MLC145
509PCDTWR,8020290,509PCDTWR
509PMC197,8020290,509PMC197
510CR1007,15048089,510CR1007
511CCC505,15028041,511CCC505
511CHCPRS,15028041,511CHCPRS
511FC1357,15042369,511FC1357
517FC1248,8058013,517FC1248
517SMC266,8058141,517SMC266
518CPCRCR,2773146,518CPCRCR
518FRE277,8025254,518FRE277
518FRM117,8039191,518FRM117
518GCGRRx,2776026,518GCGRRx
519ALCAFB,15022637,519ADCAFB
519KBCR14,15034579,519KBCR14
520CR1010,2845795,520CR1010
532TGRUPX,17055650,532TGRUPX
519KBCR17,15034611,519KBCR17
519MNRASR,948020581,519MNRASR
519MRCMCR,15036249,519MRCMCR
519MRCMDV,15040355,519MRCMDV
519PGC09A,15034319,519PGC09A
540MSJ132,17112843,540MSJ132
544MSH030,1896910,544PS0725
603RCC156,20276189,603RCC156
631FC1099,10744456,631FC1099
632SPT001,8922877,632SPT001
519PGCR01,15034267,519PGCR01
519SED014,15034267,519SED014
520DCDCRx,948020731,520DCDCRx
632SVR001,8923061,632SED094
632SVK003,8923165,632SED095
632SVK001,8923193,632SVK001
632SVK002,8923197,632SVK002
632SVK004,8924919,632SVK004
632WLF001,8923175,632WLF001
633RDL001,8922709,633RDL001
633WCR001,8922451,633WCR001
520FC1087,1678799,520FC1087
520FC1108,2847191,520FC1108
520GRCOSR,1678937,520GRCOSR
520HCTH99,1678531,520HCTH99
520SLCH20,2848531,520SLCH20
520SPCH20,2849901,520SPCH20
520WCOARx,15012445,520WCOARx
532WER222,17059026,532WER222
533FC1043,17066926,533FC1043
534CYCANB,344215,534CYCANB
534DCC167,342459,534DCC167
534MLC108,346855,534MLC108
534RSCAGG,343649,534RSCAGG
534SPC227,344927,534SPC227
534SR6xxx,348545,534SR6xxx
535MER1xx,2833552,535MER1xx
535MER2xx,2833552,535MER2xx
631KIR001,10744540,631KIR001
631KIR002,10744538,631KIR002
631KIR003,10744540,631KIR003
631LWK001,10744456,631LWK001
631LWK002,10744580,631LWK002
535MER4xx,2829148,535MER4xx
535MER5xx,2833534,535MER5xx
535SR1xxx,2825952,535SR1xxx
535SR2xxx,2826184,535SR2xxx
535SR3xxx,2823328,535SR3xxx
535SR4xxx,2823304,535SR4xxx
535TR1xxx,2819990,535TR1xxx
631POR001,10744584,631POR001
631POR002,10744584,631POR002
540PKC272,20287374,540PKC272
544MSH050,1892802,NA
544MSH060,1892924,NA
544MSH070,1893510,NA
540SED003,17118619,540SED003
540SJRUPx,17118629,540SJRUPx
540SSJ200,17116141,540SSJ200
541DPC1xx,2820146,541DPC1xx
541DPC3xx,2820146,541DPC3xx
541DPC4xx,2821814,541DPC4xx
552DKC268,22047769,552DKC268
552MFCAKR,22050595,552MFCAKR
552SCCTSR,22063163,552SCCTSR
553KRMAPC,14918241,553KRMAPC
603RCK001,20274345,603RCK001
603TBS001,20267005,603TBS001
603UOW001,20273913,603UOW001
603UOW002,20273913,603UOW002
603UOW003,20273621,603UOW003
603UOW005,20275005,603UOW005
603UOW006,20273481,603UOW006
603UOW008,20275003,603UOW008
541OC0003,2827158,541OC0003
541OC0004,2827158,541OC0004
541OC0005,2827158,541OC0005
553WER208,14917715,553WER208
553WER224,14917925,553WER224
553WER225,14922769,553WER225
554CLCALK,14970699,554CLCALK
554FSC207,14959877,554FSC207
554NYCGWD,14971045,554NYCGWD
554PMCGWD,14970909,554PMCGWD
603UOW009,20274999,603HCH6xx
304EMAMOO,17682528,NA
304FALFAL,17682460,NA
304GAZGAZ,17682170,NA
304HESPUL,17683322,NA
541OC0007,2827158,541OC0007
541OC0008,2827158,541OC0008
541OC0009,948040223,541OC0009
541OC0010,2828012,541OC0010
541OSCHW5,2828012,541OSCHW5
541SS2xxx,948040357,541SS2xxx
304KINROC,17682108,NA
304LAHH84,17687957,NA
304LBUOFR,17688205,NA
304LITSWA,17682420,NA
207WAL110,2789315,NA
207WAL120,2789325,NA
207WAL130,2789315,NA
207WAL300,2789579,NA
207WAL310,2789577,NA
207WAL320,2789577,NA
307SANCLE,17600667,307SCCARR
207WAL330,2789577,NA
207WAL350,2789343,NA
207WAL360,2789349,NA
310SANSAN,8190729,NA
511USSR88,15038955,511USSR88
518GZCUPX,2775510,518GZCUPx
519PGCR03,15034305,519PGCR03
521BCDMRx,2770154,521BCDMRx
541SS3xxx,948040356,541SS3xxx
541SS4xxx,19772179,541SS4xxx
304VALVAL,17684354,NA
307TASZEN,8203399,NA
307TULCAR,17600857,NA
308DEVLBC,8189135,NA
309JACJAC,8212065,NA
309KNG,948060164,NA
308BSR,8188861,308BSR
308GAR,8188693,308GAR
309GRN,948060268,309GRN
308ARRHY1,8190405,310ADLCDx
309MCCMC1,8202213,NA
309NACCRO,8211705,NA
309NACFOR,8209823,NA
310SSUxxx,8190679,NA
310TASTAS,8213557,NA
310TORCAY,8192531,NA
309NAC,8212739,309NAC
309NNRBSC,8209965,309NNRBSC
310SRU,8190759,310SED066
310SLC,8192659,310SLC
310SSU,8190679,310SSCLSx
312DAVDAV,17626357,312DAVDAV
312HUAHUT,17633096,312HUA
403STCCTC,17575807,403STCCTC
535TR3xxx,2823960,535TR3xxx
535TR4xxx,2826250,535TR4xxx
535TR6xxx,2823882,535TR6xxx
536CLR247,17074637,536CLR247
536CLV004,17077911,536CLV004
536LLCACR,17076301,536LLCACR
536SED108,17081781,536SED108
408CALBWC,948070326,408CALBWC
412ARSNPD,22514774,412ARSNPD
412BH1Axx,22514628,412BH1Axx
412BH4Axx,948070460,412BH4Axx
504CBBLBW,12076108,504CBBLBW
504DCFRxx,12068226,504DCFRxx
504DRCH99,12071286,504DRCH99
504FC1115,12075424,504FC1115
511UTCFVA,15047813,511UTCFVA
511WLSR27,15035613,511WLSR27
513KSCAKV,948020963,513KSCAKV
513UNCAKC,8005953,513UNCAKC
514BMCARC,14981580,514BMCARC
514BRUUPX,14983602,514BRU001
514FC1215,15033589,514FC1215
514FC1278,14992289,514FC1278
514ICEUPx,14982034,514ICEUPx
521BTCLBC,2770658,521BCACxx
521BCRBRx,2770658,521BCRBRx
522GSCBSC,7991113,522GSCBSC
523EDCNPK,12068798,523EDCNPK
514NYCSFR,14978628,514NYCSFR
514PCAPCR,14997513,514PCAPCR
514PCASMR,14997609,514PCASMR
514RCRUPx,14993595,514RCRUPx
514SBCAMR,14982536,514SBCAMR
514SCCAAR,14982306,514SCCAAR
514SFA222,14982908,514SFA222
514SSC190,14982152,514SSC190
523TMCATG,7986165,523TMCATG
524ACMFPW,8021340,524ACMFPW
526ASC237,7930125,526ASC237
518LCC233,8027032,518LCC233
518LSTUPx,8037329,518LSTUPx
518MCGRRx,2776024,518MCGRRx
518MLC181,2775342,518MLC181
518RCC169,8029362,518RCC169
518RCNAPC,2772712,518RCNAPC
518SED086,8036983,518SED086
519PGCR04,15034353,519PGCR04
519PGCR05,15034249,519PGCR05
519PGCR06,15034255,519PGCR06
519PGCR07,15038823,519PGCR07
518YLCAFR,2773598,518YLCAFR
519SCRAMR,948021140,519DRCAER
519PGCR08,15034299,519PGCR08
519PGCR09,15034319,519PGCR09
519PGCR18,15034411,519PGCR18
519PGCR20,15034479,519PGCR20
519PGCR21,15034481,519PGCR21
519PGCR22,15034509,519PGCR22
519SED001,15038823,519SED001
519SED002,15038823,519SED002
519AC0002,15022679,519AC0002
519AC0003,15022679,519AC0003
519AC0004,15022615,519AC0004
519AC0005,15022573,519AC0005
519AC0006,15022491,519AC0006
519AC0008,15022489,519AC0008
519AC0009,15022465,519AC0009
519SED003,15034255,519SED003
519SED008,15034359,519SED008
519SED012,15034319,519SED012
206RED035,1669181,NA
206RED060,1669177,NA
206RED065,1669177,NA
206RED080,1669139,NA
206RED090,1669139,NA
206RFG010,1669921,NA
206RFG040,1669939,NA
206RFG050,1669939,NA
307SALGAR,17600643,NA
405M10598,22524751,405M10598
206RHM010,-9999,NA
206RHM020,-9999,NA
206RHM030,-9999,NA
206RIT025,1668249,NA
206SOD020,1669111,NA
206RIT020,1668249,206RIT020
206SPA170,1671791,206SPA170
206SPA200,1671789,206SPA200
206SPA220,1671599,206SPA220
206SPA240,1671623,206SPA240
206SUL040,1668931,NA
206SUL050,1670129,NA
206SUL060,1670129,NA
206TUL050,1670183,NA
206TUL075,1669209,NA
207ALH140,2789565,NA
207ALH150,2789261,NA
207ALH160,2789261,NA
207ALH170,2789269,NA
207EDW010,-9999,NA
207KIR085,2787965,NA
207WAL070,2789567,NA
207WAL080,2789281,NA
207WAL090,2789293,NA
207WAL380,2789367,NA
304LOBLOB,17687899,NA
308JOSCRK,8188693,NA
309PALACP,8213401,NA
207KIR115,2790277,207KIR115
405M10599,22524955,405M10599
515BRRPTG,15072912,515BRRPTG
207WAL390,2789367,NA
207WAL400,2789397,NA
304ALPALP,17688009,NA
304BEAOLD,17684352,NA
304LOCMIS,17682438,NA
304LOMLOM,17682662,NA
202R00440,17687861,NA
207WAL420,2789411,207WAL420
207WAL475,2789411,207WAL475
304APS,17683402,304APS
304BEP,17682316,304BEP
304LOVLOV,17682384,NA
304MAJMOO,17682530,NA
304MANCRO,17682414,NA
304MILSWA,17682406,NA
304NEWGLE,17682396,NA
304OPAGAZ,17682224,NA
304PESSTA,17688143,NA
308MILHW1,8190105,NA
308POSPBS,8188985,NA
308LSRASC,8188811,308LSRASC
308MCWJPB,8189051,308MWCAH1
308SOBHW1,8189849,NA
309PASBET,8212871,NA
309POZHMN,8213729,NA
309SAG,948060280,NA
309SALH58,8213475,NA
309SALIVR,8212773,NA
308SALHY1,8191147,308SAM
308SANWIL,8188639,308SANWIL
309PSO,8212843,309PSO
309SAC,8201861,309SAC
309SALPIL,8214345,NA
314CACHAP,17609433,NA
314NOJNOJ,17608499,NA
314OSOUPP,17610569,NA
314SALJAL,17609017,NA
314SANMIG,17608089,NA
314SANRED,17610821,NA
312SBC,17625465,312SBC
312SIV,17625379,312SED113
312SIS,17625349,312SIS
504MLCH99,12068342,504MLCH99
309SALSNT,8213691,NA
314SCCNSY,17611425,314SCCNSY
504TMCTVR,12070994,504TMCTVR
505FC1275,7961193,505FC1275
507BCSFBM,2765948,507BCSFBM
507BTC269,2766252,507BTC269
507CCPWxx,2764276,507CCPWxx
507DCABSF,2766674,507DCABSF
507DCBLLB,2766676,507DCBLLB
507OCCFRx,2764352,507OCCFRx
507RCBLPF,2765992,507RCBLPF
309SANFOR,8210499,NA
309SANLYN,8213471,NA
309SANPIC,8202211,NA
206TUL130,1669259,NA
309SARANF,8204317,309SARANF
309SARNLW,8210533,309SARNLW
515HCSSHR,7969893,515HCSSHR
515JCSLRR,7970311,515JCSLRR
515RCOARx,15012553,515RCOARx
515YRMxxx,7981844,515YRMxxx
309SARSAN,8212751,NA
309SAS,948060170,NA
309CHAWSP,8201045,NA
314SYC,17608051,314SYC
314SYL,948060325,314SYL
314SYP,17610671,314SYP
314SYRASV,17609015,314SYRASV
315HONMIG,17593939,315CHCALS
315GAI,17593463,315GAI
315GAV,17594763,315GAV
304TUNTUN,17688283,NA
315MIUxxx,17595453,315MIU
507SCCPWx,2764406,507SCCPWx
508ACNFPW,8020370,508ACNFPW
508ACSFSA,8021372,508ACSFSA
508CR1011,2496070,508CR1011
509ACNFPP,8020454,509ACNFPP
509ACSFPP,8020454,509ACSFPP
509ATCINC,8020458,509ATCINC
509BCCH32,8020872,509BCCH32
509BSCADC,8020764,509BSCADC_bad
308WILWIL,8188643,NA
309ATASGL,8214337,NA
309BEAPVC,8205173,NA
309BLADRA,17605341,NA
309CHA1,8202271,NA
204LIO030,2803835,NA
204ISL050,-9999,204ISL050
204LACSAC,2808575,204LACSAC
204LIO080,-9999,204LIO080
308WLOxxx,8191227,308WLO
204LIO129,-9999,NA
205COY350,948050176,NA
203COR290,1671439,NA
203STW030,-9999,203STW030
203TEM060,1671639,203TEM060
203TEM090,1671803,203TEM090
204AHOACR,2809859,204AHOACR
204ALA525,2809691,204ALA525
204LIO130,-9999,204LIO130
204LME100,2803733,204LME100
206MIL080,1669913,NA
206MIL090,1669907,NA
206MLK060,1669149,NA
206MLK070,1670151,NA
206NAP220,1668193,NA
206NAP225,1668187,NA
206NOV060,1669885,NA
206NOV070,1669885,NA
205STE030,17693251,205STE030
206NAP700,1668167,206NAP700
205STE064,17693255,NA
205STQ060,17694235,NA
206RDO070,1671401,NA
206RFG060,1671403,NA
206SOD030,1669111,NA
205STE060,17693255,205STE060
205STE070,17693255,205STE070
205STE100,17693261,205STE100
205STE110,17693047,205STE110
205WUN450,17692887,205WUN450
304PETPRS,17688139,NA
206RHM005,-9999,NA
304WILSTP,17684114,NA
304WSTSOQ,17683324,NA
305AGDBEA,17663497,NA
305AGDTRA,17663447,NA
309CHLCNF,8201045,NA
304BH9,17682318,304BH9
309SET,8202939,309SET
315TCI,17595353,315TCI
305BATMAI,17684356,NA
305BEAGRE,17682444,NA
305BROHAZ,17661711,NA
305BROWAT,17661711,NA
307POTCHA,17599345,NA
316CAW03A,17590276,NA
403GCC,17574765,NA
402SNPMCR,17585800,402SNPMCR
402WER001,17585796,402WER001
403PRCSFD,17575859,403PRCSFD
403SPCNWS,17567911,403SPCNWS
206SON010,1670207,NA
206SON050,1669289,NA
206SON080,948050092,NA
206SON120,1669207,NA
206SON150,1669129,NA
206SON160,1669109,NA
206SON170,1669061,NA
206SON220,1668959,NA
206TUL120prnl,1669259,NA
206TUL120rcmp,1669259,NA
403M06021,24858041,403M06021
206TUL140,1669197,NA
206TUL150,1669191,NA
206WAL410,2789387,NA
206WAL420,2789411,NA
206WIL030,1671771,NA
206WIL050,1671771,NA
309SSP,8200525,NA
309SUN,8212733,NA
309TEM183,17604339,NA
206WAL412,2789387,207WAL412
309TROH58,8213633,NA
309WILTON,8203525,NA
206WIL060,1671771,NA
206WIL070,1671525,NA
206WIL130,1671787,NA
206WIL180,1671601,NA
206YOR005,1668295,NA
206WIL170,1671601,206WIL170
206WIL190,1671601,206WIL190
309UASIND,8204015,309ARSARC
207ALH020,948050078,NA
207MTDMCR,2790351,NA
304BIGBIG,17682416,NA
207MTD030,2790299,207MTD030
207MTD050,2790329,207MTD050
207MTD060,2790329,207MTD060
207MTD100,2790351,207MTD100
207MTD117,2790351,207MTD117
207MTD120,2790351,207MTD120
207MTD140,2790355,207MTD140
304BLOBCC,17682256,NA
304BRAFOT,17682764,NA
304BRAMAR,17684084,NA
304BRAOCE,17684138,NA
304BURSHU,17683262,NA
304CARCAR,17682554,NA
304CARELO,17682694,NA
207ALH110,2789251,NA
207SPA110,1671493,NA
309CHAPVP,8202233,NA
309CHLCWF,8201047,NA
309ESTEST,17649021,NA
207SUI020,2785327,207SUI020
207SUI050,2784627,207SUI050
207SUI060,2784627,207SUI060
207SUI110,2784543,207SUI110
207SUI130,2784541,207SUI130
207SUI180,2784539,207SUI180
309CLCBVC,8202351,309CLCBVC
309DSA,8209153,309DSA
201CHE300,5329569,201CHE300
201EAS020,5330547,201EAS020
201EAS050,5330547,201EAS050
201LAG130,5329511,201LAG130
201LAG150,5329505,201LAG150
201LAG160,5329533,201LAG160
201LAG180,5329831,201LAG180
201LAG18X,5329511,201LAG18X
207SUI260,2784507,207SUI260
207SUI290,2784507,207SUI290
304PURHIG,17687875,NA
304REGSMI,17682506,NA
202R01356,17687393,NA
201WLK010,5329305,201WLK010
201WLK030,5329291,201WLK030
201WLK050,5329291,201WLK050
201WLK100,5329313,201WLK100
201WLK120,5329817,201WLK120
201WLK130,5329321,201WLK130
201WLK160,5329357,201WLK160
201WLK170,5329375,201WLK170
304SANHW9,17682178,NA
304SANSTA,17687965,NA
304SCOSWA,17682476,NA
304SEM236b,17682226,NA
205COY440,17694719,NA
206AME050,1670309,NA
203R00983,1671611,203R00983
204ALP070,2806323,204ALP070
304SL9,17682398,304SL9
304SOK,17684378,304SOK
304SEM236a,17682218,304SPC236
207WAL030,2789555,NA
207WAL050,2789273,NA
204DUB040,2806333,NA
202PES150,17688057,202PES150
202PES160,17688085,202PES160
202PES170,17688093,202PES170
202PES180,17688145,202PES180
206NOV080,1669901,206NOV080
206SPA020,1671765,206SPA020
305CLCSBR,17673639,305CLCSBR
204WRD070,2804011,NA
204WRD080,2804011,NA
204WRD090,2804011,NA
205ADO030,17693253,NA
205ADO040,17693253,NA
205ADO050,17693253,NA
205CAL050,17693029,NA
202PES210,17688307,202PES210
202PES230,17688189,202PES230
205AAG400,948050186,205AAG400
205CAL060,17693041,NA
205COY460,17694721,NA
204ALP100,2808527,204ALP100
204ALP110,2808529,204ALP110
204ALP140,2806261,204ALP140
204AMCADD,2809681,204AMCADD
204AMO070,2806391,204AMO070
204AMO100,2808535,204AMO100
204AMO160,2806597,204AMO160
204AMO200,2809733,204AMO200
204R00047,2803979,204R00047
205LGU070,17692593,NA
205LGU120,17692601,NA
206BEA030,1668967,NA
205COY900,17694669,205COY900
205CYCAHH,17694881,205CYCAHH
205CYCNGR,17694891,205CYCNGR
206BEA035,1668967,206BEA035
206BEL040,1668247,206BEL040
206BRC020,1671541,206BRC020
206CALASC,1669109,206CALASC
206CAR025,1670193,NA
206CAR030,1670193,NA
206CON040,-9999,NA
206NOV120,1669853,NA
206NOV140,1669853,NA
206NOV160,1669845,NA
206NOV170,1669845,NA
206NOV180,1669845,NA
206NOV195,1669845,NA
206NOV210,1669845,NA
305CORSCU,17663061,NA
305CORWAT,17661713,NA
305GAMBRO,17661529,NA
305GREHAZ,17662389,NA
206PET060,1669573,206PET060
305COR2xx,17663061,305COR2
305MILFLR,17665471,305FRA
305LGCACR,17671963,305LGCACR
305LLAOSP,17661007,305LGCBRC
305PAC,17663037,305PAC
206MIL050,1669919,NA
305PAJROG,17663307,NA
207ALH040,948050078,NA
207ALH050,948050078,NA
207ALH060,2789231,NA
207ALH070,2789235,NA
207ALH090,2789235,NA
207ALH100,2785135,NA
206PET090,1670241,206PET090
206PET130,1670219,206PET130
305RAMRAM,17661515,NA
305SBRCOA,17671791,NA
206PET220,1670221,206PET220
206PET265,1669313,206PET265
206PET280,1670229,206PET280
206PET310,1670223,206PET310
206PET360,1669265,206PET360
206PET400,1669225,206PET400
305SBRH25,17665645,305BRI
305SAL129,17663255,305COR
305SBRPR1,17663933,NA
305SBRPR2,17664309,NA
305WATLEE,17663285,NA
307CACCAC,17600743,NA
206CON155,1668291,NA
206PNL010,948050069,NA
206PNL020,1671429,NA
206PNL030,1671429,NA
206PICARR,1669139,206PICARR
305SWACRO,17661281,305SSCAUC
206PNL040,1671429,NA
206PNL060,1671463,NA
206PNL070,1671465,NA
206CON185,1668293,NA
206CON190,1668293,NA
206CON220,1668301,NA
206CYR010,1668197,NA
206DIA020,1668225,NA
206DRY020,1669117,NA
206DRY080,-9999,NA
206DRY060,1669101,206DRY060
112FS0419,2544513,NA
204MRT110,2806295,NA
204MRT120,2806295,NA
204MRT130,2806295,NA
111WER077,8284864,111WER077
111WER098,2705443,111WER098
111WER159,8308468,111WER159
113RUGS01,8281847,113RG8046
113WER082,2663889,113WER082
204PRL020,2803789,204PRL020
204PRL080,2803789,204PRL080
204SAU020,-9999,NA
204WRD020,948050144,NA
205CAL070,17693041,NA
205LGU130,17692601,NA
201WLK180,5329363,201WLK180
202PES240,17688199,202PES240
204AVJ020,2803839,204AVJ020
204SAU030,2803791,204SAU030
204SAU080,2803791,204SAU080
204SAU130,2804883,204SAU130
206PNL090,1671477,NA
201LAG220,5329621,201LAG220
201LAG240,5329619,201LAG240
201LAG270,5329609,201LAG270
201LAG290,5329609,201LAG290
201LAG300,5329625,201LAG300
201LAG320,5329629,201LAG320
201LAG335,5330439,201LAG335
201LAG380,5330451,201LAG380
307CARCAC,17600733,307CMN
206SPA124,1671493,NA
206SPA132,-9999,NA
201WLK190,5329363,201WLK190
201WLK200,5329373,201WLK200
204R00100,2806365,204R00100
206SPA070,1671765,206SPA070
206SPA100,1671469,206SPA100
206SPA110,-9999,206SPA110
206SPA130,1671769,206SPA130
206SPA140,1671553,206SPA140
202BUT040prnl,17688195,NA
202BUT040rcmp,17688195,NA
307FINTAS,17600777,NA
201WLK240,5329435,201WLK240
202BUT020,17688327,202BUT020
202BUT030,17688195,202BUT030
202SGR010,17687955,202SGR010
202SGR030,17687907,202SGR030
202SGR040,17687989,202SGR040
202SGR060,17687987,202SGR060
202PES095,17688129,202PES095
202PES100,17688105,202PES100
202SGR080,17687985,202SGR080
202SGR110,17687931,202SGR110
202SGR120,17687887,202SGR120
202SGR130,17688293,202SGR130
202SGR150,17688013,202SGR150
204R00180,2804511,204R00180
307CARLOS,17601661,307CMRADC
307CMU,17600475,307CMU
307LASGAR,17600571,NA
307LASSLP,17600529,NA
202SPE020,17687535,NA
202SPE040,17687389,NA
202SPE050,17687389,NA
202SPE060,17687387,NA
202SPE070,17687391,NA
202SPE080,17687397,NA
203ACM100,1671583,NA
204WRD040,2804003,NA
204R00189,2811071,204R00189
205CAL080,17693059,NA
205COY090,17694105,NA
205COY100,17694105,NA
205COY110,17694105,NA
205COY120,17694085,NA
205COY130,17694083,NA
205COY223,17694207,NA
205COY227,17695645,NA
204AVJ110,2803831,204AVJ110
205COY140,17694083,205COY140
204COR010,2809123,NA
204COR020,2809123,NA
204COR040,2809123,NA
204COR060,2809123,NA
204COR070,2809123,NA
205LGU140,17691091,NA
205LOGALE,17694857,NA
205MAT030,17693219,NA
205MAT050,17693235,NA
204CLCACR,2804901,204CLCACR
204R00191,2806459,204R00191
205PER025,17693229,NA
204WRD050,2804003,NA
203ACM110,1671583,NA
205PER060,17693229,NA
206PNL100,1671475,NA
206PNL120,1671485,NA
205PER020,17693221,205PER020
205PER040,17693229,205PER040
205PER050,17693231,205PER050
206PNL110,1671479,206PIN825
206RDO010,1670357,NA
206RDO050,1669937,NA
206RDO060,1669937,NA
203ACM120,1671777,NA
203ACM140,1671777,NA
203BAX045,-9999,NA
203CER010,1671591,NA
203CER040,1671591,NA
203BAX050,-9999,203BAX050
203CER020,1671591,203CER020
204R00200,2804687,204R00200
203COD030,1671603,NA
205SAR040,948050173,NA
205SAR050,17693061,NA
205SAR090,17693269,NA
205SAR110,17693073,NA
205PER080,17693009,205PER080
205SAR057,17693061,205SAR057
205SAR060,17693061,205SAR060
205SAR070,17693061,205SAR070
403STC076,17574539,403STC076
206FAG010,1670247,NA
206GAR005,1668191,NA
206GAR110,1668191,NA
403STC083,17572259,403STC083
403STC085,17567423,403STC085
403STC086,17567995,403STC086
403STC090,948070346,403STC090
SMC36636,22525157,SMC36636
405SGB011,22525157,405SGB011
SMC17482,22525605,SMC17482
206GAR135,1668181,NA
206HOP045,-9999,NA
206HUI025,1670197,NA
206MIL040,1669919,NA
CAT08722-052,8942501,NA
CAT08722-053,8943697,NA
CAT08722-061,8944501,NA
CAT08722-055,8941755,634CAT055_archived
CAT08722-054,8944473,CAT08722-054
CAT08722-058,8944475,CAT08722-058
CAT08722-056,8942879,CAT08722-056
CAT08722-063,8942493,NA
CAT08722-070,8943537,NA
543R00219,1893578,NA
543R00245,1897008,NA
CAT08722-010,8944409,NA
SGB05535-108,22527375,NA
412LAR020,22515794,412LAR020
412LAR023,22518110,412LAR023
412LAR024,22515788,412LAR024
412LAR025,22515766,412LAR025
SGB05535-110,22532860,NA
SGB05535-112,22525157,NA
SGB05535-113,22525157,NA
SGB05535-115,22523217,NA
SGB05535-116,22523115,NA
CAT08722-113,8943729,NA
CAT08722-114,8944449,NA
CAT08722-117,8943697,NA
CAT08722-119,8941743,NA
SGUR034,22522881,SGUT502
CAT08722-121,8944529,NA
CAT08722-122,8944443,NA
CAT08722-124,-9999,NA
CAT08722-125,8944513,NA
CAT08722-133,8943683,NA
LAR1460,22514954,NA
LAR3902,22515036,NA
p-TAHCAT08722-076,8942877,NA
p-TAHCAT08722-080,8942879,NA
p-TAHCAT08722-084,8942531,NA
p-TAHCAT08722-092,8942875,NA
p-TAHCAT08722-096,8942877,NA
p-TAHCAT08722-100,8942503,NA
p-TAHCAT08722-108,8942877,NA
105FS0426,8257801,NA
105FS0427,8257397,NA
105FS0428,8257421,105FS0428
105NWC151,2557039,105NWC151
105WER052,8257797,105WER052
105WLC135,2556363,105WLC135
105WLCABC,8257397,105WLCABC
106FC1183,8246442,106FC1183
111WER022,8294601,111WER022
204SLO020,2803995,NA
114AUSS01,8271487,114AU7778
114BSCURx,8272593,114BSCURx
114CR0903,8270711,114CR0903
204SIN300,2806659,204SIN300
204SLE030,2804921,204SLE030
204SLE165,2803769,204SLE165
204SLE170,2803759,204SLE170
204SLE180,2804885,204SLE180
204SLE220,2803727,204SLE220
106FS0039,8235162,NA
200BEABEA,17693115,NA
200COYCOC,17694711,NA
114DCURxx,8270515,114DCURxx
114DLCURx,8268463,114DLCMRx
114WER118,8270945,114EACR6x
114MAAS01,8272313,114MA2364
114MLCURx,8268459,114MLCURx
114SQCURx,8271879,114SQCURx
115EBAG01,3879996,115EBAG01
114SALG01,3879994,115SALG01
200EASHEN,17694599,NA
106FS0043,8236322,NA
106FS0431,8232448,NA
106FS0432,8242392,NA
106FS0433,8242250,NA
CAT08722-111,8942491,NA
106WER011,8243440,106WER011
106WER014,8236316,106WER014
106WER016,8234604,106WER016
204R00221,2809817,204VAL400
200GUAHIC,17694751,205GCAxxx
CAT08722-134,8943531,NA
p-TAHCAT08722-111,8942491,NA
SGUR042,22524693,NA
CAT08722-136,8941661,NA
CAT08722-138,8944403,NA
CAT08722-139,8941749,NA
CAT08722-140,8942877,NA
107RWCBHW,8316099,107RWCBHW
110ECSLSF,8317131,110ECSLSF
110SMCATH,8317181,110SMCATH
111BBRBCC,8297465,111BBRBCC
CAT08722-141,8944503,NA
CAT08722-143,8941687,NA
CAT08722-151,8941713,NA
CAT08722-152,8942873,NA
p-TAHCAT08722-112,8942875,NA
p-TAHCAT08722-124,8942875,NA
p-TAHCAT08722-138,8944403,NA
p-TAHCAT08722-140,8942877,NA
p-TAHCAT08722-152,8942873,NA
SGB05535-016,22525157,NA
204R00232,2809129,204R00232
SGB05535-031,22525157,NA
SGB05535-039,22524967,NA
SGB05535-051,22527389,NA
SGUR065,22522723,NA
SGUR070,22522973,NA
SGUR083,22524615,NA
SGUR087,22522885,NA
SGUR094,22522929,NA
SGUR096,22524695,NA
SGUR107,22522745,NA
SGUR109,22522827,NA
TAH03GlenBk-1,8942507,NA
111FCA207,8285292,111FCA207
114FCA031,8270711,114FCA031
504PS0595,12073104,504PS0595
511PS0657,15039563,511PS0657
515PS0622,948020363,515PS0622
517FCA222,8064197,517FCA222
519PS0578,15024787,519PS0578
519PS0646,15036577,519PS0646
552FCA017,22050309,552FCA017
403M02537,17573659,403M02537
203COR060,1671509,NA
203COR080,1671491,NA
