stationcode,sampledate,result,masterid,latitude,longitude,huc,county,smcshed
SMC00428,2017-06-15T07:00:00Z,1.0936403612747778,SMC00428,34.2481,-118.04976,405,Los Angeles,San Gabriel
SMC04524,2017-06-15T07:00:00Z,0.9310588477042272,SMC04524,34.24761,-118.03367,405,Los Angeles,San Gabriel
405CE0280,2017-07-19T07:00:00Z,1.1831555329464645,405CE0280,34.23041,-117.74981,405,Los Angeles,San Gabriel
SMC01278,2017-07-19T07:00:00Z,0.9904281274681161,SMC01278,33.82099,-118.06645,405,Los Angeles,San Gabriel
412M08638,2017-08-16T07:00:00Z,0.5869118666687183,412M08638,34.20922,-118.17119,412,Los Angeles,Los Angeles
402M00046,2017-04-26T07:00:00Z,0.8594588502613948,402M00046,34.42402,-119.30011,402,Ventura,Ventura
403M01538,2017-05-25T07:00:00Z,0.9314838359236245,403M01538,34.41199,-118.83067,403,Ventura,Santa Clara
403M01539,2017-04-20T07:00:00Z,1.058605685793853,403M01539,34.54733,-119.16554,403,Ventura,Santa Clara
403M01553,2017-05-25T07:00:00Z,0.762397560937154,403M01553,34.43845,-118.92539,403,Ventura,Santa Clara
412S00520,2017-04-25T07:00:00Z,0.5309770401952831,SMC00520,34.29626,-118.28252,412,Los Angeles,Los Angeles
403M05785,2017-06-06T07:00:00Z,0.725520030655892,403M05785,34.37091,-118.47199,403,Los Angeles,Santa Clara
403M05795,2017-06-05T07:00:00Z,0.48848709897466625,403M05795,34.60898,-118.77961,403,Los Angeles,Santa Clara
404M04517,2017-04-26T07:00:00Z,0.8735427947312348,404M04517,34.17649,-118.70612,404,Ventura,Santa Monica Bay
404M07360,2017-06-08T07:00:00Z,0.5461331251799667,404M07360,34.15459,-118.75848,404,Los Angeles,Santa Monica Bay
408BA0660,2017-04-27T07:00:00Z,0.3544115756855284,408BA0660,34.26784,-118.93781,408,Ventura,Calleguas
404M07361,2017-06-06T07:00:00Z,0.47493137534046065,404M07361,34.10164,-118.62119,404,Los Angeles,Santa Monica Bay
404M07362,2017-06-08T07:00:00Z,0.6303997911750392,404M07362,33.8009,-118.38703,404,Los Angeles,Santa Monica Bay
408M03038,2017-04-27T07:00:00Z,0.36358965160144285,408M03038,34.27491,-118.88512,408,Ventura,Calleguas
408M03047,2017-05-30T07:00:00Z,0.39621379088690667,408M03047,34.17338,-119.0517,408,Ventura,Calleguas
