SiteTag,SampleDate,Metric1_TRC,Metric2_VCS,Metric3_VCQ,Metric4_AGNR,Metric5_RVW,Metric6_RSCVC,Metric7_MHPR,Metric81_hymod,Metric_82_hymod,Metric8_final,Idx_Score,D_lat,D_long
310SCN,5/20/15,0,25,50,50,25,50,75,75,75,75,43.75,35.280539,-120.668079
310SLB,5/20/15,75,100,100,75,50,62.5,100,75,25,50,76.5625,35.188155,-120.71894
310SLC,11/3/15,0,75,100,50,25,50,75,50,100,75,56.25,35.29355,-120.64437
310SLM,9/16/14,0,0,40,0,0,25,75,0,0,0,17.5,35.279423,-120.664828
310SRO,5/21/15,75,100,50,75,62.5,75,100,100,100,100,79.6875,35.568188,-121.104232
310SRU,5/21/15,75,100,100,50,62.5,75,100,50,75,62.5,78.125,35.568256,-121.065123
310TOR,9/17/14,100,100,40,25,50,75,100,75,75,75,70.625,35.412525,-120.872224
310TWB,9/17/14,100,100,60,50,100,66.7,75,100,100,100,81.4625,35.354387,-120.827733
312CAV,5/12/15,100,100,50,75,100,100,75,100,100,100,87.5,34.688126,-119.358857
312CUT,5/6/15,0,0,0,25,25,25,25,75,75,75,21.875,34.906089,-120.301212
312HUA,5/5/15,75,50,50,50,100,100,100,100,100,100,78.125,35.086868,-120.369492
313SAC,9/16/14,100,100,60,50,100,100,50,100,100,100,82.5,34.790148,-120.610764
314SYI,9/15/14,0,40,60,50,37.5,75,75,50,100,75,51.5625,34.607268,-120.193684
315CAP,5/6/15,100,100,100,75,87.5,100,100,75,75,75,92.1875,34.460546,-120.022659
315CAU,5/13/15,0,0,50,75,25,25,100,25,25,25,37.5,34.401286,-119.487235
315RIN,5/13/15,0,75,75,50,25,25,75,25,25,25,43.75,34.377579,-119.478167
317CHO,9/18/14,0,40,20,0,25,75,25,100,100,100,35.625,35.709835,-120.304822
304RRAPT1,7/11/17,100,100,100,100,100,87.5,75,100,100,100,95.31,37.017817,-121.904343
304RRAPT2,7/11/17,75,100,0,50,37.5,87.5,50,100,75,87.5,60.94,36.97208702,-121.9054362
304RRAPT3,6/23/14,100,100,100,100,100,75,100,75,100,87.5,95.31,37.001405,-121.906196
304RRAPT4,7/11/17,75,100,50,75,100,100,75,100,100,100,84.38,36.97632492,-121.9036944
304RRAPT5,7/11/17,0,100,0,75,62.5,87.5,100,50,50,50,59.38,36.97513781,-121.9019953
304RRAPT6,6/6/17,75,100,0,50,25,37.5,75,100,0,50,51.56,36.973565,-121.903821
304RRAPT7,7/11/17,75,100,100,75,100,87.5,75,100,100,100,89.06,36.997004,-121.868423
304RRAPT8,7/11/17,75,100,25,75,87.5,100,75,25,100,62.5,75,36.974996,-121.898735
304RRBRA1,11/30/15,100,100,100,75,87.5,75,75,75,37.5,56.25,83.59,37.01918,-122.01106
304RRBRA2,11/18/15,100,100,0,100,62.5,50,100,50,100,75,73.44,37.01463765,-122.0111167
304RRBRA4,1/26/16,75,100,25,75,62.5,87.5,100,75,100,87.5,76.56,37.018274,-121.996844
304RRBRA10,11/17/15,100,100,0,75,62.5,62.5,100,75,100,87.5,73.44,37.05842073,-121.9808034
304RRBRA16,11/30/15,100,75,75,75,87.5,62.5,100,75,100,87.5,82.81,37.03894,-121.99648
304RRBRA17,11/17/15,100,100,100,100,100,75,100,100,100,100,96.88,37.03356581,-121.9873505
304RRBRA21,1/26/16,100,100,25,100,50,50,100,100,87.5,93.75,77.34,37.04893477,-121.981232
304RRBRA24,11/17/15,0,50,0,25,50,37.5,75,50,75,62.5,37.5,37.03468715,-121.9968328
304RRBRA25,1/26/16,100,100,0,100,75,75,100,75,100,87.5,79.69,37.02137967,-121.995839
304RRBRA30,1/26/16,25,0,0,25,25,37.5,75,75,75,75,32.81,37.0318157,-121.9830277
304RRBRA32,11/30/15,50,0,25,25,37.5,50,75,50,100,75,42.19,37.02768,-121.9874
304RRBRA35,12/1/15,100,100,50,75,75,50,100,87.5,93.75,90.625,80.08,37.0092,-122.01031
304RRCAR1,6/19/19,75,100,0,25,25,75,75,100,62.5,81.25,57.03,36.986682,-122.01462
304RRBCR1,5/8/17,100,100,100,100,87.5,75,75,75,100,87.5,90.63,37.187607,-122.079781
304RRCAR10,6/19/19,100,100,75,75,87.5,87.5,100,100,100,100,90.63,37.044559,-122.016634
304RRCAR11,6/21/19,100,100,100,100,100,87.5,75,100,100,100,95.31,37.075511,-121.991478
304RRCAR2,6/21/19,75,100,0,50,50,50,75,75,50,62.5,57.81,37.06045,-122.00195
304RRCAR3,6/21/19,75,100,0,75,50,25,75,100,87.5,93.75,61.72,37.047718,-122.015824
304RRCAR4,6/19/19,75,100,50,0,50,75,75,75,75,75,62.5,36.989295,-122.015815
304RRCAR5,6/21/19,75,100,25,50,50,50,75,75,75,75,62.5,37.055427,-122.011035
304RRZAY1,12/8/16,75,100,50,50,25,75,75,100,50,75,65.63,37.06316,-122.0343
304RRZAY2,12/8/16,100,75,75,75,62.5,87.5,75,100,87.5,93.75,80.47,37.06211,-122.01861
