COMID,D_lat,D_long
8192693,35.30229,-120.77625
8188861,36.287875,-121.844874
17600733,36.39857,-121.66195
17683364,37.0318157,-121.9830277
17605311,36.725867,-121.649679
17605311,36.724786,-121.653055
17600771,36.39228,-121.63863
17608115,34.595651,-120.269448
17604291,36.771617,-121.790038
17621877,35.06068,-120.47578
17596161,34.377579,-119.478167
8192647,35.30229,-120.77625
17683302,37.06953055,-121.8319711
17684136,36.969944,-122.02295
17684136,36.990995,-122.031426
17684136,36.96599,-122.012869
17684136,36.974243,-122.022899
17684136,36.986377,-122.02819
17684136,36.990952,-122.031393
17682438,37.06316,-122.0343
17682438,37.07071,-122.03382
17682462,37.051276,-122.084864
17683324,37.05661,-121.94224
17683324,37.06712,-121.94963
17683324,37.11889285,-121.9614676
17683340,37.04617,-121.95264
17683340,37.054088,-121.955627
17682248,37.15341188,-122.1631485
17683376,37.018274,-121.996844
17605295,36.77229098,-121.787855
17605295,36.772197,-121.787691
17684354,36.997004,-121.868423
17682690,37.03954,-122.064564
17682690,37.034406,-122.058754
17682662,37.10769,-122.05006
17682662,37.11403,-122.04931
17682662,37.09352,-122.05286
17682320,37.13827828,-122.1436522
17684374,36.97632492,-121.9036944
17684140,36.990995,-122.031426
17684140,36.986377,-122.02819
17684140,36.990952,-122.031393
17684140,36.974414,-122.022086
17682466,37.051276,-122.084864
17684110,36.989295,-122.015815
17682172,37.18426,-122.12336
17684380,36.972369,-121.953153
17682268,37.14979565,-122.1648466
17682268,37.145916,-122.1576387
17604029,36.860038,-121.740058
17683372,37.018274,-121.996844
17682292,37.13827828,-122.1436522
17682554,37.004225,-122.017437
17682396,37.087919,-122.076459
17682396,37.083064,-122.078718
17682314,37.1417525,-122.1325749
17682314,37.13285352,-122.1252767
15024787,38.759474,-121.264595
