stationcode,sampledate,asci,comid,masterid
412M08638,2017-08-16T07:00:00Z,0.5869118666687183,22514804,412M08638
402M00046,2017-04-26T07:00:00Z,0.8594588502613948,17586760,402M00046
403M01538,2017-05-25T07:00:00Z,0.9314838359236245,17574757,403M01538
403M01553,2017-05-25T07:00:00Z,0.762397560937154,17574519,403M01553
403M05785,2017-06-06T07:00:00Z,0.725520030655892,17575751,403M05785
403M05795,2017-06-05T07:00:00Z,0.48848709897466625,17569679,403M05795
404M07360,2017-06-08T07:00:00Z,0.5461331251799667,20364737,404M07360
408BA0660,2017-04-27T07:00:00Z,0.3544115756855284,17563970,408BA0660
404M07361,2017-06-06T07:00:00Z,0.47493137534046065,20364935,404M07361
404M07362,2017-06-08T07:00:00Z,0.6303997911750392,20366125,404M07362
408M03038,2017-04-27T07:00:00Z,0.36358965160144285,17563908,408M03038
408M03047,2017-05-30T07:00:00Z,0.39621379088690667,17562626,408M03047
412CE0232,2017-05-31T07:00:00Z,0.4128064999206183,22515812,412CE0232
412M08627,2017-05-17T07:00:00Z,0.2782935844138695,22518110,412M08627
412M08630,2017-05-17T07:00:00Z,0.7235712230666634,22515828,412M08630
412M08632,2017-05-17T07:00:00Z,0.3718122069119604,22515754,412M08632
412WE0552,2017-05-24T07:00:00Z,0.9221658501444662,22514712,412WE0552
801M12665,2017-05-18T07:00:00Z,0.6258285403118318,20355506,801M12665
801M12652,2017-05-18T07:00:00Z,0.9384648429354691,20361330,801M12652
801M12669,2017-06-29T07:00:00Z,0.9011403308844259,20355368,801M12669
801M16932,2017-05-31T07:00:00Z,0.3462129447400529,22560574,801M16932
801M16949,2017-05-31T07:00:00Z,0.7174628795483021,948070547,801M16949
901M14137,2017-06-20T07:00:00Z,0.8539636061089831,20350669,901M14137
901M14138,2017-06-20T07:00:00Z,0.4881706894811758,20348499,901M14138
902M18893,2017-05-18T07:00:00Z,0.5956081378103418,22548371,902M18893
902WE0888,2017-06-14T07:00:00Z,0.7392014424392627,22548347,902WE0888
903M20177,2017-05-03T07:00:00Z,1.0538410184173654,20341471,903M20177
903M20208,2017-06-12T07:00:00Z,0.5696049344318032,20341623,903M20208
903M20213,2017-06-12T07:00:00Z,0.43855696596853394,20341649,903M20213
905PS0026,2017-05-04T07:00:00Z,0.44938410598024103,20330878,905PS0026
906M21758,2017-05-11T07:00:00Z,0.5919077995379017,20331192,906M21758
114CR0903,2013-08-26T07:00:00Z,0.9373118813684407,8270711,114CR0903
114CR0903,2013-09-25T07:00:00Z,0.905658812509742,8270711,114CR0903
110FCA102,2013-07-25T07:00:00Z,0.7973661848342766,8317019,110FCA102
510CR1007,2013-06-03T07:00:00Z,0.47189222849921314,15048089,510CR1007
520CR1010,2013-07-15T07:00:00Z,0.748579311250929,2845795,520CR1010
508CR1011,2013-07-16T07:00:00Z,0.7745414413467625,2496070,508CR1011
544CR1003,2013-06-04T07:00:00Z,0.34878320833932797,1897364,544CR1003
404R4S070,2016-05-04T07:00:00Z,1.1573225648553311,20365129,404R4S070
403FCA022,2013-05-29T07:00:00Z,0.37472399836741227,17572955,403FCA022
105FCA116,2013-07-16T07:00:00Z,1.0750909764470038,8257773,105FCA116
103FCA168,2013-07-24T07:00:00Z,0.7289785129474985,22226990,103FCA168
602FC1102,2014-07-08T07:00:00Z,0.8973470902959001,20288196,602FC1102
511FC1357,2014-07-28T07:00:00Z,0.7444085816927913,15042369,511FC1357
403R4S193,2016-05-24T07:00:00Z,0.369790489559881,17574677,403R4S193
105FC1120,2014-07-30T07:00:00Z,0.9620483598465308,8265420,105FC1120
105FC1297,2014-07-22T07:00:00Z,0.9282723817375297,8257759,105FC1297
520FC1087,2014-06-24T07:00:00Z,1.032379781505069,1678799,520FC1087
403R4S211,2016-05-03T07:00:00Z,0.6832637433635607,17569947,403R4S211
533FC1043,2014-06-04T07:00:00Z,0.9622296989738559,17066926,533FC1043
518FC1350,2014-07-29T07:00:00Z,0.6857021833673571,2772996,518FC1350
514FC1215,2014-05-27T07:00:00Z,0.7835830745264263,15033589,514FC1215
403CE0156,2016-05-24T07:00:00Z,0.6490037941723305,17572919,403CE0156
504FC1115,2014-06-19T07:00:00Z,0.9045254184173556,12075424,504FC1115
106FC1313,2014-07-23T07:00:00Z,1.152172333286075,8245598,106FC1313
514FC1278,2014-05-28T07:00:00Z,1.0533509574531241,14992289,514FC1278
111CR0911,2014-08-19T07:00:00Z,1.0628480568206855,2706287,111CR0911
111CR1012,2014-08-18T07:00:00Z,0.9642185697872017,2702661,111CR1012
515CR1050,2014-06-23T07:00:00Z,1.1226891200710971,7972441,515CR1050
105CR0901,2014-07-23T07:00:00Z,0.6883015183881733,4442592,105CR0901
111FC1098,2014-06-10T07:00:00Z,0.95580565356892,8287522,111FC1098
105CR0901,2014-08-11T07:00:00Z,0.6676967840728922,4442592,105CR0901
105CR0906,2014-08-12T07:00:00Z,0.6404149440901824,4439804,105CR0906
105CR0908,2014-07-22T07:00:00Z,0.6826528728795047,4442414,105CR0908
